"address","categoryId","city","contactPhone","country","createdAt","description","evidence","geo","id","images","kind","location","locationGranularity","name","price","promotionTier","remote","salary","source","sourceUrl","sponsoredUntil","state","subtype","tags","title","type","updatedAt","website"
"Addis Ababa, Ethiopia","jobs","Addis Ababa","N/A","Ethiopia","","","Job Opportunity at Habesha Breweries – Fresh Graduates Welcome!

Habesha Breweries

Location: Addis Ababa, Ethiopia","{""formatted_address"":{""S"":""Addis Ababa, Ethiopia""},""location_type"":{""S"":""APPROXIMATE""},""granularity"":{""S"":""city""},""geocoded_from"":{""S"":""Addis Ababa, Addis Ababa, Ethiopia""}}","habesha-breweries-addis-ababa-addis-ababa-full-time-1883e41bc7b162f1","[]","job","{""lat"":{""N"":""9.0191936""},""lon"":{""N"":""38.7524635""}}","city","Habesha Breweries","N/A","",false,"N/A","openai_web_search+google_geocode","https://www.alljobspo.com/ethiopia-jobs/job-details/288854","","Addis Ababa","Full-time","[{""S"":""Habesha Breweries""},{""S"":""Job Opportunity""},{""S"":""Fresh Graduates""},{""S"":""Addis Ababa""},{""S"":""Ethiopia""}]","Job Opportunity at Habesha Breweries – Fresh Graduates Welcome!","job","2025-12-19T17:51:24.173027+00:00","https://www.alljobspo.com/ethiopia-jobs/job-details/288854"
"","rentals","","(720) 822-2211","","","","Frey offers top-notch expertise and knowledge to help you navigate the complex buying process.","{""formatted_address"":{""S"":""""},""location_type"":{""S"":""""},""granularity"":{""S"":""remote""}}","frey-tariku-sr-mortgage-loan-officer-unknown-unknown-mortgage-bbce558fd141a2d8","[]","rental","","remote","Frey Tariku – Sr. Mortgage Loan Officer","","",true,"","openai_web_search+google_geocode","https://habeshalink.com/listings/frey-tariku-mortgage-loan-officer/","","","mortgage","[{""S"":""Frey Tariku""},{""S"":""mortgage loan officer""},{""S"":""Habesha""},{""S"":""Ethiopian community""},{""S"":""USA""}]","Frey Tariku – Sr. Mortgage Loan Officer","mortgage","2025-12-19T17:53:35.624078+00:00","https://habeshalink.com/listings/frey-tariku-mortgage-loan-officer/"
"Washington, DC","services","Washington","301-244-8174","USA","","","Law Office of Sahlu Mikael
See More on Sahlu Mikael Here","{""formatted_address"":{""S"":""Washington, DC, USA""},""location_type"":{""S"":""APPROXIMATE""}}","law-office-of-sahlu-mikael-washington-dc-ethiopian-afd7e9c863426de8","[]","","{""lat"":{""N"":""38.9071923""},""lon"":{""N"":""-77.0368707""}}","","Law Office of Sahlu Mikael","","","","","openai_web_search+google_geocode","https://habeshayellowpages.com/listings/ethiopian-lawyers-near-me/","","DC","Ethiopian","[{""S"":""lawyer""},{""S"":""Ethiopian""}]","","lawyer","2025-12-19T18:02:32.651777+00:00","https://habeshayellowpages.com/listings/ethiopian-lawyers-near-me/"
"123 Pickett Street, Alexandria, VA 22304","markets","Alexandria","(703) 370-0000","USA","","","Located at 123 Pickett Street, Alexandria, VA 22304.","{""formatted_address"":{""S"":""123 S Pickett St, Alexandria, VA 22304, USA""},""location_type"":{""S"":""RANGE_INTERPOLATED""}}","world-food-alexandria-va-market-4f2f34eb3270db62","[]","","{""lat"":{""N"":""38.8099672""},""lon"":{""N"":""-77.1234642""}}","","World Food","","","","","openai_web_search+google_geocode","https://www.worldfoodva.com/","","VA","market","[{""S"":""Ethiopian""},{""S"":""Eritrean""},{""S"":""Habesha""},{""S"":""grocery""},{""S"":""market""},{""S"":""injera""}]","","grocery","2025-12-19T17:58:11.732646+00:00","https://www.worldfoodva.com/"
"Los Angeles, CA, USA","events","Los Angeles","","USA","","","East African party in Los Angeles celebrating Ethiopian and Eritrean culture.","{""formatted_address"":{""S"":""Los Angeles, CA, USA""},""location_type"":{""S"":""APPROXIMATE""}}","motherland-sounds-east-african-party-los-angeles-ca-cultural-c5e24162c1eedba9","[]","","{""lat"":{""N"":""34.0549076""},""lon"":{""N"":""-118.242643""}}","","Motherland Sounds East African Party","","","","","openai_web_search+google_geocode","https://www.okayafrica.com/motherland-sounds-ethiopia-eritrea-music/","","CA","cultural","[{""S"":""East African party""},{""S"":""Ethiopian culture""},{""S"":""Eritrean culture""},{""S"":""Los Angeles""}]","","event","2025-12-19T17:59:10.085328+00:00",""
"3820 South Angeline Street","restaurants","Seattle","(206) 555-7890","United States","","","Habesha Cafe is a family-owned Ethiopian and Eritrean restaurant in Seattle, Washington.","{""formatted_address"":{""S"":""3820 S Angeline St, Seattle, WA 98118, USA""},""location_type"":{""S"":""RANGE_INTERPOLATED""}}","habesha-cafe-seattle-washington-ethiopian-48b6698ecab19059","[]","","{""lat"":{""N"":""47.5596672""},""lon"":{""N"":""-122.2840507""}}","","Habesha Cafe","","","","","openai_web_search+google_geocode","https://habesha.cafe/about-us/","","Washington","Ethiopian","[{""S"":""Ethiopian""},{""S"":""Eritrean""}]","","restaurant","2025-12-19T17:55:28.111878+00:00","https://habesha.cafe"
"Washington, DC","services","Washington","301-244-8174","USA","","","Selam Travel and Media Services
See More info Here","{""formatted_address"":{""S"":""Washington, DC, USA""},""location_type"":{""S"":""APPROXIMATE""}}","selam-travel-and-media-services-washington-dc-ethiopian-807cb961fff61d8e","[]","","{""lat"":{""N"":""38.9071923""},""lon"":{""N"":""-77.0368707""}}","","Selam Travel and Media Services","","","","","openai_web_search+google_geocode","https://habeshalink.com/listings/ethiopian-notarization-document-legalization-services/","","DC","Ethiopian","[{""S"":""notary""},{""S"":""Ethiopian""}]","","notary","2025-12-19T18:02:33.442450+00:00","https://habeshalink.com/listings/ethiopian-notarization-document-legalization-services/"
"","rentals","","","","2025-12-23T23:22:12.618829+00:00","","","","e59fd646-8aa7-4265-a9fd-16f2accee961","","","","","rent2","","",false,"","","","","","","","","","2025-12-23T23:22:12.618829+00:00",""
"Washington, DC","services","Washington","Not provided","USA","","","""Law Office of Kebere Assefa"" listed under Ethiopian Lawyers Near Me.","{""formatted_address"":{""S"":""Washington, DC, USA""},""location_type"":{""S"":""APPROXIMATE""}}","law-office-of-kebere-assefa-washington-dc-lawyer-856e51c59a6767b6","[]","","{""lat"":{""N"":""38.9071923""},""lon"":{""N"":""-77.0368707""}}","","Law Office of Kebere Assefa","","","","","openai_web_search+google_geocode","https://habeshayellowpages.com/listings/ethiopian-lawyers-near-me/","","DC","lawyer","[{""S"":""lawyer""},{""S"":""Ethiopian""}]","","business","2025-12-19T18:03:39.172669+00:00","https://habeshayellowpages.com/listings/ethiopian-lawyers-near-me/"
"","rentals","","","","2025-12-23T21:11:11.186907+00:00","","","","d889f086-cb44-492f-a46b-b56119116436","","","","","car","","",false,"","","","","","","","","","2025-12-23T21:11:11.186907+00:00",""
